name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T00:00:00,14.9,14.9,11.7,81.07,0,0,,0,0,15.8,12.1,334,1010.9,84.9,11.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"76632099999,76679399999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T01:00:00,14.5,14.5,12.9,89.66,0,0,,0,0,15.8,2.2,140,1010,68,13.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"76726099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T02:00:00,14.2,14.2,12,86.85,0,0,,0,0,15.8,0,357.9,1009.9,68,13.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"76726099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T03:00:00,12.4,12.4,11.1,91.37,0,0,,0,0,15.5,2.4,48,1010.3,87.2,11.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"76726099999,MMSM,76675099999,MMTO"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T04:00:00,13.6,13.6,11.6,87.26,0,0,,0,0,13,0,343.7,1010.3,64,13.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"76726099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T05:00:00,14,14,11,82.26,0,0,,0,0,13.3,7.2,344,1023.5,88.5,10.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"76726099999,76632099999,76679399999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T06:00:00,11.6,11.6,9.5,86.5,0,0,,0,0,11.5,1.1,12,1011.7,55.8,12.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"76726099999,76632099999,MMSM,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T07:00:00,13.2,13.2,11.8,91.2,0,0,,0,0,18,0.4,24,1012.8,87.1,2.8,7.9,0,0,10,Partially cloudy,partly-cloudy-day,"76632099999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T08:00:00,15.4,15.4,11,75.23,0,0,,0,0,21.6,4.6,350,1020.9,85.3,8,127.1,0.5,1,10,Partially cloudy,partly-cloudy-day,"76726099999,76632099999,76679399999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T09:00:00,14.9,14.9,12.3,84.48,0,0,,0,0,18,10,304,1014.4,79.1,3.6,254.7,0.9,3,10,Partially cloudy,partly-cloudy-day,"76726099999,76632099999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T10:00:00,15.3,15.3,11.7,79.02,0,0,,0,0,18,8.1,297,1014.9,95.5,5,414.3,1.5,4,10,Overcast,cloudy,"76726099999,76632099999,76680099999,76675099999,MMTO"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T11:00:00,16.4,16.4,10.8,69.71,0,0,,0,0,25.2,12.9,19,1022.1,93,9.5,523.7,1.9,5,10,Overcast,cloudy,"76726099999,76632099999,76679399999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T12:00:00,17.4,17.4,12.8,74.5,0,0,,0,0,21,10.6,316,1014.5,88.3,4.5,665.4,2.4,7,10,Partially cloudy,partly-cloudy-day,"76726099999,76632099999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T13:00:00,17.8,17.8,12.6,71.76,0,0,,0,0,30.2,7.5,322,1013,94.2,4.4,625.9,2.3,6,10,Overcast,cloudy,"76726099999,76632099999,76680099999,76675099999"
"Sierra México, Tlalpexco, 07188 Gustavo A Madero, CDMX, México",2024-10-01T14:00:00,17.8,17.8,13.6,76.36,0,0,,0,0,31,10.8,251,1012.3,97,3.8,515,1.9,5,10,Overcast,cloudy,"76726099999,76632099999,76680099999"
