,temp,anio_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio,hora_sin,hora_cos,mes_sin,mes_cos,dia_anio_sin,dia_anio_cos,temperatura_hace1hora,temperatura_hace3horas,temperatura_hace6horas,temperatura_hace12horas,temperatura_hace1dia,temperatura_hace3dias,temperatura_hace1semana,temperatura_hace1anio,temp_media_ultimas_3h,temp_media_ultimas_24h
2025-11-11 00:00:00,13.786163182362083,2025.0,,,,,,,,,,,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,8.9,9.0,9.5,10.1,11.2,13.0,11.5,15.1,8.933333333333332,9.595833333333333
2025-11-11 01:00:00,13.45906235397591,2025.0,,,,,,,,,,,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.786163182362083,8.9,9.0,11.0,10.6,9.0,11.0,14.7,10.528721060787362,9.70359013259842
2025-11-11 02:00:00,13.523785247349524,2025.0,,,,,,,,,,,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.45906235397591,8.9,10.9,14.2,6.0,14.8,10.5,13.8,12.048408512112664,9.82271773068075
2025-11-11 03:00:00,13.589166303823493,2025.0,,,,,,,,,,,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.523785247349524,13.786163182362083,9.0,17.5,9.6,14.3,8.0,13.3,13.589670261229172,10.136208782653647
2025-11-11 04:00:00,13.46073973555306,2025.0,,,,,,,,,,,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.589166303823493,13.45906235397591,8.9,9.7,3.0,13.9,9.8,12.7,13.524004635049641,10.302424045312959
2025-11-11 05:00:00,13.326738996301103,2025.0,,,,,,,,,,,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.46073973555306,13.523785247349524,8.9,9.7,7.0,13.5,3.4,12.0,13.524563762242026,10.738288200961003
2025-11-11 06:00:00,13.864024074209071,2025.0,,,,,,,,,,,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.326738996301103,13.589166303823493,13.786163182362083,9.5,3.0,15.0,2.0,10.8,13.458881678559218,11.001902325806881
2025-11-11 07:00:00,14.259421865917883,2025.0,,,,,,,,,,,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,13.864024074209071,13.46073973555306,13.45906235397591,9.0,9.4,13.2,8.9,11.1,13.550500935354412,11.454569995565592
2025-11-11 08:00:00,14.704208912843507,2025.0,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,14.259421865917883,13.326738996301103,13.523785247349524,10.9,10.0,9.0,9.7,10.8,13.816728312142686,11.657045906645505
2025-11-11 09:00:00,16.132791166518732,2025.0,,,,,,,,,,,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,14.704208912843507,13.864024074209071,13.589166303823493,9.0,10.0,12.0,11.3,15.0,14.275884950990154,11.853054611347318
2025-11-11 10:00:00,17.01845683679603,2025.0,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,16.132791166518732,14.259421865917883,13.46073973555306,8.9,12.0,17.0,13.3,17.9,15.03214064842671,12.10858757661893
2025-11-11 11:00:00,17.349188500574222,2025.0,,,,,,,,,,,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,17.01845683679603,14.704208912843507,13.326738996301103,8.9,10.1,20.0,15.5,20.8,15.951818972052758,12.317689944818767
2025-11-11 12:00:00,17.51058386598069,2025.0,,,,,,,,,,,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,17.349188500574222,16.132791166518732,13.864024074209071,13.786163182362083,10.1,20.3,17.3,22.7,16.833478834629663,12.619739465676025
2025-11-11 13:00:00,17.521342392999504,2025.0,,,,,,,,,,,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,17.51058386598069,17.01845683679603,14.259421865917883,13.45906235397591,11.0,22.0,18.5,23.7,17.292743067783647,12.92851379342522
2025-11-11 14:00:00,17.417920781445492,2025.0,,,,,,,,,,,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,17.521342392999504,17.349188500574222,14.704208912843507,13.523785247349524,14.2,22.0,19.5,25.2,17.460371586518136,13.200236393133531
2025-11-11 15:00:00,18.00486421047205,2025.0,,,,,,,,,,,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,17.417920781445492,17.51058386598069,16.132791166518732,13.589166303823493,17.5,22.3,23.0,25.4,17.48328234680856,13.334316425693762
