temp,dia_anio,mes_actual,anio_actual,hora_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio
11.5,308,11,2025,0,12,13.3,23,17,12.3,15.9,8.2,11.8,14,15.7
11,308,11,2025,1,11.5,12.6,15.5,18.4,12,15.6,11.7,11.5,12.5,14.6
10.5,308,11,2025,2,11,12,14.3,21,11.6,15.1,11.6,10.6,12.7,14.6
8,308,11,2025,3,10.5,11.5,13.3,21,11.4,14.7,11.3,8.9,12.7,14.7
9.8,308,11,2025,4,8,11,12.6,22,11.2,14.3,11,8.3,14,14.6
3.4,308,11,2025,5,9.8,10.5,12,18,10.6,5,10.8,7.7,12.9,13.9
2,308,11,2025,6,3.4,8,11.5,23,10.2,16,10.6,7.1,14,13.5
8.9,308,11,2025,7,2,9.8,11,15.5,14,13.6,14,15,18,12
9.7,308,11,2025,8,8.9,3.4,10.5,14.3,10.6,14.6,7.1,19,15.8,13.9
11.3,308,11,2025,9,9.7,2,8,13.3,9.5,16.1,13.2,13,15.1,15.3
13.3,308,11,2025,10,11.3,8.9,9.8,12.6,14,17,15.3,16.6,19,18.7
15.5,308,11,2025,11,13.3,9.7,3.4,12,15.6,19.2,17,19.4,18.9,21
17.3,308,11,2025,12,15.5,11.3,2,11.5,17,20.3,20,21.2,21,22.3
18.5,308,11,2025,13,17.3,13.3,8.9,11,18.4,21.3,25,22.3,22,23.5
19.5,308,11,2025,14,18.5,15.5,9.7,10.5,21,22,20.9,22.6,17,24.1
23,308,11,2025,15,19.5,17.3,11.3,8,21,21.3,21.3,25,14,23.8
20.1,308,11,2025,16,23,18.5,13.3,9.8,22,20.6,23,22,19.4,21.9
19.9,308,11,2025,17,20.1,19.5,15.5,3.4,18,22,20.5,21.4,14,20.5
20,308,11,2025,18,19.9,23,17.3,2,23,19.4,18.9,22.8,14.4,18.9
17,308,11,2025,19,20,20.1,18.5,8.9,15.5,18.9,16,20,15.8,18
17.7,308,11,2025,20,17,19.9,19.5,9.7,14.3,18.5,14,14.9,15.8,17.8
14.6,308,11,2025,21,17.7,20,23,11.3,13.3,17.9,16.1,17.8,13.6,17.8
14.1,308,11,2025,22,14.6,17,20.1,13.3,12.6,17.3,15.6,11.9,12,17.8
13.7,308,11,2025,23,14.1,17.7,19.9,15.5,12,16.8,15,11,12,16
