temp,dia_anio,mes_actual,anio_actual,hora_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio
15.6,309,11,2025,21,16.2,21.8,20.8,13.8,17,13,15,13,15,15.4
15.1,309,11,2025,22,15.6,19,20.7,15.8,14.1,12.6,16.6,12.3,12.4,17.6
14.7,309,11,2025,23,15.1,16.2,23,17.5,13.9,12.5,16.2,11.8,13,16.8
14.1,310,11,2025,0,14.7,15.6,21.8,19,13.3,12.3,15.9,8.2,15,16.2
13.6,310,11,2025,1,14.1,15.1,19,20,12.8,12,15.6,11.7,13,16
8,310,11,2025,2,13.6,14.7,16.2,20.6,12.4,11.6,15.1,11.6,12.7,15.3
8.6,310,11,2025,3,8,14.1,15.6,20.8,12,11.4,14.7,11.3,12,14.8
6,310,11,2025,4,8.6,13.6,15.1,20.7,8,11.2,14.3,11,12,14.8
4.4,310,11,2025,5,6,8,14.7,23,11.4,10.6,5,10.8,12.4,13.9
3.7,310,11,2025,6,4.4,8.6,14.1,21.8,11.2,10.2,16,10.6,14.8,12.8
11.5,310,11,2025,7,3.7,6,13.6,19,3,14,13.6,14,12.2,12.5
12.5,310,11,2025,8,11.5,4.4,8,16.2,11.7,10.6,14.6,7.1,13.4,14.1
12,310,11,2025,9,12.5,3.7,8.6,15.6,13.8,9.5,16.1,13.2,15.5,16.4
16.2,310,11,2025,10,12,11.5,6,15.1,15.8,14,17,15.3,17.3,18.1
17.9,310,11,2025,11,16.2,12.5,4.4,14.7,17.5,15.6,19.2,17,18.9,20.9
19,310,11,2025,12,17.9,12,3.7,14.1,19,17,20.3,20,20,22.9
22,310,11,2025,13,19,16.2,11.5,13.6,20,18.4,21.3,25,20.7,24.6
21.9,310,11,2025,14,22,17.9,12.5,8,20.6,21,22,20.9,21.2,25.6
28,310,11,2025,15,21.9,19,12,8.6,20.8,21,21.3,21.3,24,24.5
28,310,11,2025,16,28,22,16.2,6,20.7,22,20.6,23,20.6,24
27,310,11,2025,17,28,21.9,17.9,4.4,23,18,22,20.5,21,23.1
19.5,310,11,2025,18,27,28,19,3.7,21.8,23,19.4,18.9,21,21
18.2,310,11,2025,19,19.5,28,22,11.5,19,15.5,18.9,16,15.7,19.5
19,310,11,2025,20,18.2,27,21.9,12.5,16.2,14.3,18.5,14,14.7,18.6
16.5,310,11,2025,21,19,19.5,28,12,15.6,13.3,17.9,16.1,18,17.8
16,310,11,2025,22,16.5,18.2,28,16.2,15.1,12.6,17.3,15.6,13.9,16.5
15.6,310,11,2025,23,16,19,27,17.9,14.7,12,16.8,15,15,14.9
15,311,11,2025,0,15.6,16.5,19.5,19,14.1,11.5,16.3,14.6,13.2,16.8
14.4,311,11,2025,1,15,16,18.2,22,13.6,11,15.9,14.4,13.1,13.2
13.8,311,11,2025,2,14.4,15.6,19,21.9,8,10.5,15.4,14,12.7,12.2
13.4,311,11,2025,3,13.8,15,16.5,28,8.6,8,8,8,14,14
13,311,11,2025,4,13.4,14.4,16,28,6,9.8,14.8,13.4,14,11.4
12.7,311,11,2025,5,13,13.8,15.6,27,4.4,3.4,14.5,13.1,12.4,11.3
7,311,11,2025,6,12.7,13.4,15,19.5,3.7,2,10,12.8,12.3,10.3
14,311,11,2025,7,7,13,14.4,18.2,11.5,8.9,16,14,18,11.6
7,311,11,2025,8,14,12.7,13.8,19,12.5,9.7,10.9,14.1,12.3,13.8
15.4,311,11,2025,9,7,7,13.4,16.5,12,11.3,15,14,15,16.9
17.3,311,11,2025,10,15.4,14,13,16,16.2,13.3,16.4,23,14.3,19.5
19,311,11,2025,11,17.3,7,12.7,15.6,17.9,15.5,15.8,19.1,16.1,20.2
20.4,311,11,2025,12,19,15.4,7,15,19,17.3,17,21,17,23.4
21.5,311,11,2025,13,20.4,17.3,14,14.4,22,18.5,19,20.9,16,24.1
22.1,311,11,2025,14,21.5,19,7,13.8,21.9,19.5,28,21.6,16,25.6
22.4,311,11,2025,15,22.1,20.4,15.4,13.4,28,23,18.4,21.8,16,25.2
24,311,11,2025,16,22.4,21.5,17.3,13,28,20.1,18,27,16,25.3
21.7,311,11,2025,17,24,22.1,19,12.7,27,19.9,19.7,21.1,16,25.1
20.6,311,11,2025,18,21.7,22.4,20.4,7,19.5,20,16.4,22,14,21.8
19,311,11,2025,19,20.6,24,21.5,14,18.2,17,15.2,18.6,13.2,20.6
20,311,11,2025,20,19,21.7,22.1,7,19,17.7,13.8,19,14,20.2
17.8,311,11,2025,21,20,20.6,22.4,15.4,16.5,17,13,15,14,19.8
17.2,311,11,2025,22,17.8,19,24,17.3,16,14.1,12.6,16.6,13,19.1
16.5,311,11,2025,23,17.2,20,21.7,19,15.6,13.9,12.5,16.2,14,18.4
13,312,11,2025,0,16.5,17.8,20.6,20.4,15,13.3,12.3,15.9,13.4,17.9
9,312,11,2025,1,13,17.2,19,21.5,14.4,12.8,12,15.6,13.5,17
14.8,312,11,2025,2,9,16.5,20,22.1,13.8,12.4,11.6,15.1,13.4,15.3
14.3,312,11,2025,3,14.8,13,17.8,22.4,13.4,12,11.4,14.7,13.2,16.7
13.9,312,11,2025,4,14.3,9,17.2,24,13,8,11.2,14.3,12.7,16.2
13.5,312,11,2025,5,13.9,14.8,16.5,21.7,12.7,11.4,10.6,5,14,15.1
15,312,11,2025,6,13.5,14.3,13,20.6,7,11.2,10.2,16,12.8,14.6
13.2,312,11,2025,7,15,13.9,9,19,14,3,14,13.6,13.2,13.7
9,312,11,2025,8,13.2,13.5,14.8,20,7,11.7,10.6,14.6,19,13.6
12,312,11,2025,9,9,15,14.3,17.8,15.4,13.8,9.5,16.1,13.7,16.4
17,312,11,2025,10,12,13.2,13.9,17.2,17.3,15.8,14,17,17,19.1
20,312,11,2025,11,17,9,13.5,16.5,19,17.5,15.6,19.2,18,21.3
20.3,312,11,2025,12,20,12,15,13,20.4,19,17,20.3,15.9,23
22,312,11,2025,13,20.3,17,13.2,9,21.5,20,18.4,21.3,20,24.6
22,312,11,2025,14,22,20,9,14.8,22.1,20.6,21,22,20.7,24.8
22.3,312,11,2025,15,22,20.3,12,14.3,22.4,20.8,21,21.3,18,25.1
22.2,312,11,2025,16,22.3,22,17,13.9,24,20.7,22,20.6,17.9,25.1
21.3,312,11,2025,17,22.2,22,20,13.5,21.7,23,18,22,16,24.7
20.4,312,11,2025,18,21.3,22.3,20.3,15,20.6,21.8,23,19.4,16,23
18.9,312,11,2025,19,20.4,22.2,22,13.2,19,19,15.5,18.9,14.6,21.7
17,312,11,2025,20,18.9,21.3,22,9,20,16.2,14.3,18.5,20,20.7
17.7,312,11,2025,21,17,20.4,22.3,12,17.8,15.6,13.3,17.9,16,19.6
17.4,312,11,2025,22,17.7,18.9,22.2,17,17.2,15.1,12.6,17.3,13,18.5
16.8,312,11,2025,23,17.4,17,21.3,20,16.5,14.7,12,16.8,14.7,18.4
16.2,313,11,2025,0,16.8,17.7,20.4,20.3,13,14.1,11.5,16.3,14.3,17.3
15.7,313,11,2025,1,16.2,17.4,18.9,22,9,13.6,11,15.9,14.3,16.1
5,313,11,2025,2,15.7,16.8,17,22,14.8,8,10.5,15.4,14,15.2
14.7,313,11,2025,3,5,16.2,17.7,22.3,14.3,8.6,8,8,15,13.9
5.4,313,11,2025,4,14.7,15.7,17.4,22.2,13.9,6,9.8,14.8,13.6,14.2
5,313,11,2025,5,5.4,5,16.8,21.3,13.5,4.4,3.4,14.5,13.6,13.6
3,313,11,2025,6,5,14.7,16.2,20.4,15,3.7,2,10,13.5,12.8
13.3,313,11,2025,7,3,5.4,15.7,18.9,13.2,11.5,8.9,16,13.4,11.9
14.5,313,11,2025,8,13.3,5,5,17,9,12.5,9.7,10.9,14,13.9
11,313,11,2025,9,14.5,3,14.7,17.7,12,12,11.3,15,15.1,16.4
17.5,313,11,2025,10,11,13.3,5.4,17.4,17,16.2,13.3,16.4,16,20.6
18.9,313,11,2025,11,17.5,14.5,5,16.8,20,17.9,15.5,15.8,18.6,22.6
20,313,11,2025,12,18.9,11,3,16.2,20.3,19,17.3,17,19.6,24.3
22,313,11,2025,13,20,17.5,13.3,15.7,22,22,18.5,19,20.6,24.3
23,313,11,2025,14,22,18.9,14.5,5,22,21.9,19.5,28,18.9,25.1
25,313,11,2025,15,23,20,11,14.7,22.3,28,23,18.4,20,25.9
21.4,313,11,2025,16,25,22,17.5,5.4,22.2,28,20.1,18,20,25.7
23,313,11,2025,17,21.4,23,18.9,5,21.3,27,19.9,19.7,19,25.5
16,313,11,2025,18,23,25,20,3,20.4,19.5,20,16.4,16,24.4
16.2,313,11,2025,19,16,21.4,22,13.3,18.9,18.2,17,15.2,14,22.7
15,313,11,2025,20,16.2,23,23,14.5,17,19,17.7,13.8,14,20.5
13.7,313,11,2025,21,15,16,25,11,17.7,16.5,17,13,13.6,19.1
10,313,11,2025,22,13.7,16.2,21.4,17.5,17.4,16,14.1,12.6,12,19
9,313,11,2025,23,10,15,23,18.9,16.8,15.6,13.9,12.5,13.1,19
