temp,dia_anio,mes_actual,anio_actual,hora_actual,temp_hace1hora,temp_hace3horas,temp_hace6horas,temp_hace12horas,temp_hace1dia,temp_hace3dias,temp_hace5dias,temp_hace1semana,temp_hace1mes,temp_hace1anio
13.3,309,11,2025,0,13.9,17,20,17.3,11.5,16.3,14.6,10.3,13.4,16.9
12.8,309,11,2025,1,13.3,14.1,17,18.5,11,15.9,14.4,9.8,13.1,15.7
12.4,309,11,2025,2,12.8,13.9,17.7,19.5,10.5,15.4,14,9.2,11,14.6
12,309,11,2025,3,12.4,13.3,17,23,8,8,8,7.6,11,13.9
8,309,11,2025,4,12,12.8,14.1,20.1,9.8,14.8,13.4,6,13.1,13.1
11.4,309,11,2025,5,8,12.4,13.9,19.9,3.4,14.5,13.1,5.7,13.1,12.8
11.2,309,11,2025,6,11.4,12,13.3,20,2,10,12.8,5,11,13.4
3,309,11,2025,7,11.2,8,12.8,17,8.9,16,14,16,12.9,12.6
11.7,309,11,2025,8,3,11.4,12.4,17.7,9.7,10.9,14.1,12,12.1,13.6
13.8,309,11,2025,9,11.7,11.2,12,17,11.3,15,14,12.4,21,15.9
15.8,309,11,2025,10,13.8,3,8,14.1,13.3,16.4,23,13.3,18,19.6
17.5,309,11,2025,11,15.8,11.7,11.4,13.9,15.5,15.8,19.1,15.7,19,21
19,309,11,2025,12,17.5,13.8,11.2,13.3,17.3,17,21,16.8,19.9,26
20,309,11,2025,13,19,15.8,3,12.8,18.5,19,20.9,20,21.2,21.7
20.6,309,11,2025,14,20,17.5,11.7,12.4,19.5,28,21.6,27,21.3,25.1
20.8,309,11,2025,15,20.6,19,13.8,12,23,18.4,21.8,21,21.2,24.4
20.7,309,11,2025,16,20.8,20,15.8,8,20.1,18,27,17.6,20.9,24
23,309,11,2025,17,20.7,20.6,17.5,11.4,19.9,19.7,21.1,19.2,17,21.7
21.8,309,11,2025,18,23,20.8,19,11.2,20,16.4,22,17,16.7,20.4
19,309,11,2025,19,21.8,20.7,20,3,17,15.2,18.6,15.8,18,16.6
16.2,309,11,2025,20,19,23,20.6,11.7,17.7,13.8,19,13.5,14.6,19
