name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"19.505206138950097, -99.14637441801871",2025-11-10T00:00:00,11.2,11.2,-2.4,38.57,0,0,,0,0,21.6,10.8,21.1,1026,7.3,24.1,0,0,0,10,Clear,clear-night,remote
"19.505206138950097, -99.14637441801871",2025-11-10T01:00:00,10.6,10.6,-0.1,47.51,0,0,,0,0,17.6,10.8,21.7,1026,98.6,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T02:00:00,6,6,3,81.07,0,0,,0,0,15.8,0,0,1026,25,14,0,0,0,10,Partially cloudy,partly-cloudy-night,MMSM
"19.505206138950097, -99.14637441801871",2025-11-10T03:00:00,9.6,7.9,0.9,54.61,0,0,,0,0,16.6,11.2,7,1026,100,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T04:00:00,3,0.9,1,86.7,0,0,,0,0,20.5,7.6,320,1026,0,10,0,0,0,10,Clear,clear-night,MMTO
"19.505206138950097, -99.14637441801871",2025-11-10T05:00:00,7,7,6,93.35,0,0,,0,0,25.9,0,0,1027,88,13,0,0,0,10,Partially cloudy,partly-cloudy-night,MMSM
"19.505206138950097, -99.14637441801871",2025-11-10T06:00:00,3,0.4,2,93.14,0,0,,0,0,25.6,9.4,320,1019.9,0,6,0,0,0,10,Clear,clear-night,MMTO
"19.505206138950097, -99.14637441801871",2025-11-10T07:00:00,9.4,8.9,3.7,67.56,0,0,,0,0,16.6,5.4,29.5,1028,99.6,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T08:00:00,10,9.1,7,81.61,0,0,,0,0,22.7,7.6,300,1029,100,11,12,0,0,10,Overcast,cloudy,MMSM
"19.505206138950097, -99.14637441801871",2025-11-10T09:00:00,10,9.7,4.4,68.16,0,0,,0,0,18.7,5,39.9,1029,99.9,24.1,39,0.1,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T10:00:00,12,12,6,66.71,0,0,,0,0,29.9,14.8,360,1029,100,13,158,0.6,2,10,Overcast,cloudy,MMMX
"19.505206138950097, -99.14637441801871",2025-11-10T11:00:00,10.1,10.1,5.3,72.09,0,0,,0,0,19.8,6.8,47.8,1029,100,24.1,50,0.2,1,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T12:00:00,10.1,10.1,5.5,73.1,0.1,100,rain,0,0,28.8,9.4,37.2,1028,100,24.1,74,0.3,1,10,"Rain, Overcast",rain,remote
"19.505206138950097, -99.14637441801871",2025-11-10T13:00:00,11,11,6,71.27,0,0,,0,0,25.6,16.6,340,1028,100,14,72,0.3,1,10,Overcast,cloudy,MMSM
"19.505206138950097, -99.14637441801871",2025-11-10T14:00:00,14.2,14.2,6,57.91,0,0,,0,0,25.2,25.8,10,1023.7,99.8,14,73,0.3,1,10,Overcast,cloudy,"MMCB,MMMX"
"19.505206138950097, -99.14637441801871",2025-11-10T15:00:00,17.5,17.5,5.8,46,0,0,,0,0,22.3,23.2,34,1021.5,60.5,16,62,0.2,1,10,Partially cloudy,partly-cloudy-day,"MMCB,MMTO"
"19.505206138950097, -99.14637441801871",2025-11-10T16:00:00,9.7,8.4,5.1,73.03,0,0,,0,0,18.7,9,42,1027,100,24.1,57,0.2,1,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T17:00:00,9.7,8.2,5.3,74.05,0,0,,0,0,18,10.1,39.4,1027,100,24.1,34,0.1,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T18:00:00,9.5,7.9,5.2,74.53,0,0,,0,0,18,10.8,44,1027,100,24.1,9,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T19:00:00,9,5.4,4,70.88,0,0,,0,0,18,27.7,50,1028,88,14,0,0,0,10,Partially cloudy,partly-cloudy-night,MMSM
"19.505206138950097, -99.14637441801871",2025-11-10T20:00:00,10.9,10.9,4,62.33,0,0,,0,0,16.9,21.9,1,1029,99.5,15.9,0,0,0,10,Overcast,cloudy,"MMMX,MMTO"
"19.505206138950097, -99.14637441801871",2025-11-10T21:00:00,9,7.4,4.1,71.38,0,0,,0,0,15.1,9.7,49.2,1030,99.8,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T22:00:00,8.9,7.3,4.1,71.87,0,0,,0,0,14.4,9.7,41.2,1030,100,24.1,0,0,0,10,Overcast,cloudy,remote
"19.505206138950097, -99.14637441801871",2025-11-10T23:00:00,8.9,7.3,4.1,71.87,0,0,,0,0,12.6,10.1,37.2,1029,100,24.1,0,0,0,10,Overcast,cloudy,remote
